customer_sk,customer_id,first_name,last_name,email,residential_location,customer_segment
37,CUST_00037,Paul,Craig,paul.craig@yahoo.com,Houston,Premium Shopper
38,CUST_00038,Samantha,Berg,samantha.berg@gmail.com,Arlington,Occasional Shopper
39,CUST_00039,Andrew,Warner,andrew.warner@gmail.com,Memphis,High Value
40,CUST_00040,Mitchell,Frank,mitchell.frank@yahoo.com,Raleigh,Deal Seeker
41,CUST_00041,Jose,Vega,jose.vega@gmail.com,Colorado Springs,Occasional Shopper
42,CUST_00042,George,Lewis,george.lewis@gmail.com,Long Beach,Premium Shopper
43,CUST_00043,Bethany,Johnson,bethany.johnson@yahoo.com,Miami,Budget Shopper
44,CUST_00044,Evan,Hunter,evan.hunter@yahoo.com,San Francisco,In-Store Regular
45,CUST_00045,Allison,Martinez,allison.martinez@yahoo.com,Sacramento,Occasional Shopper
46,CUST_00046,Steven,Williams,steven.williams@outlook.com,Louisville,Deal Seeker
47,CUST_00047,Rebecca,Brooks,rebecca.brooks@outlook.com,Milwaukee,First-time Buyer
48,CUST_00048,Erik,Phelps,erik.phelps@gmail.com,Columbus,High Value
49,CUST_00049,Scott,Johnson,scott.johnson@outlook.com,Minneapolis,In-Store Regular
50,CUST_00050,Melissa,Woodward,melissa.woodward@yahoo.com,Virginia Beach,Online Shopper
51,CUST_00051,Cynthia,Brewer,cynthia.brewer@yahoo.com,Philadelphia,First-time Buyer
52,CUST_00052,Shawn,Ray,shawn.ray@yahoo.com,Houston,First-time Buyer
53,CUST_00053,Jason,Barnes,jason.barnes@outlook.com,Philadelphia,High Value
54,CUST_00054,John,Barnes,john.barnes@outlook.com,Detroit,Premium Shopper
55,CUST_00055,Steven,Smith,steven.smith@yahoo.com,Portland,Deal Seeker
56,CUST_00056,Terry,Ramirez,terry.ramirez@gmail.com,Tucson,Loyal Customer
57,CUST_00057,Savannah,Chapman,savannah.chapman@yahoo.com,Memphis,First-time Buyer
58,CUST_00058,Randy,Acosta,randy.acosta@yahoo.com,Oklahoma City,In-Store Regular
59,CUST_00059,Eric,Martin,eric.martin@yahoo.com,Los Angeles,First-time Buyer
60,CUST_00060,Nathan,Long,nathan.long@yahoo.com,Portland,Deal Seeker
61,CUST_00061,Jeffrey,Casey,jeffrey.casey@yahoo.com,Tampa,Churn Risk
62,CUST_00062,Mark,Williams,mark.williams@gmail.com,Denver,Online Shopper
63,CUST_00063,Dawn,Hansen,dawn.hansen@gmail.com,Milwaukee,Occasional Shopper
64,CUST_00064,Julie,Ryan,julie.ryan@yahoo.com,Chicago,In-Store Regular
65,CUST_00065,Danielle,Anderson,danielle.anderson@gmail.com,Nashville,Occasional Shopper
66,CUST_00066,Teresa,Beck,teresa.beck@gmail.com,Houston,Churn Risk
67,CUST_00067,Kelly,Mitchell,kelly.mitchell@outlook.com,El Paso,Occasional Shopper
68,CUST_00068,Rachel,Nguyen,rachel.nguyen@outlook.com,San Jose,Premium Shopper
69,CUST_00069,Dennis,Weber,dennis.weber@yahoo.com,Milwaukee,Online Shopper
70,CUST_00070,Angela,Thomas,angela.thomas@gmail.com,Miami,Churn Risk
71,CUST_00071,Matthew,Morgan,matthew.morgan@gmail.com,Los Angeles,Online Shopper
72,CUST_00072,Brenda,Norman,brenda.norman@yahoo.com,Milwaukee,High Value
73,CUST_00073,Shelia,Ballard,shelia.ballard@gmail.com,Colorado Springs,Loyal Customer
74,CUST_00074,Thomas,Smith,thomas.smith@yahoo.com,Seattle,Online Shopper
75,CUST_00075,Steven,Brown,steven.brown@yahoo.com,Arlington,High Value
76,CUST_00076,Edward,Brown,edward.brown@gmail.com,Louisville,Occasional Shopper
77,CUST_00077,Brian,Cook,brian.cook@yahoo.com,Columbus,First-time Buyer
78,CUST_00078,Timothy,Stout,timothy.stout@gmail.com,Louisville,Online Shopper
79,CUST_00079,Robert,Smith,robert.smith@yahoo.com,Columbus,In-Store Regular
80,CUST_00080,Elizabeth,Gilbert,elizabeth.gilbert@yahoo.com,Sacramento,Churn Risk
81,CUST_00081,Michael,Fowler,michael.fowler@gmail.com,Miami,Online Shopper
82,CUST_00082,Jacqueline,Clark,jacqueline.clark@yahoo.com,Phoenix,Deal Seeker
83,CUST_00083,Evan,Gardner,evan.gardner@gmail.com,San Diego,Churn Risk
84,CUST_00084,Mike,Jackson,mike.jackson@yahoo.com,Seattle,Occasional Shopper
85,CUST_00085,Mallory,Adams,mallory.adams@gmail.com,San Jose,Loyal Customer
86,CUST_00086,Jasmine,Morris,jasmine.morris@outlook.com,Kansas City,Occasional Shopper
87,CUST_00087,Kara,Wallace,kara.wallace@yahoo.com,Raleigh,Occasional Shopper
88,CUST_00088,Courtney,Gonzalez,courtney.gonzalez@gmail.com,Dallas,High Value
89,CUST_00089,Katie,Lin,katie.lin@yahoo.com,Austin,First-time Buyer
90,CUST_00090,Nicholas,Petersen,nicholas.petersen@gmail.com,Los Angeles,Premium Shopper
91,CUST_00091,Brian,Rhodes,brian.rhodes@gmail.com,San Jose,Budget Shopper
92,CUST_00092,David,Miller,david.miller@gmail.com,Phoenix,Occasional Shopper
93,CUST_00093,Eric,Rodriguez,eric.rodriguez@gmail.com,Los Angeles,Premium Shopper
94,CUST_00094,Meredith,Jenkins,meredith.jenkins@outlook.com,Atlanta,Budget Shopper
95,CUST_00095,Christopher,Thompson,christopher.thompson@yahoo.com,Las Vegas,First-time Buyer
96,CUST_00096,Jill,Henry,jill.henry@outlook.com,Houston,Online Shopper
97,CUST_00097,Zachary,Ray,zachary.ray@gmail.com,Charlotte,Budget Shopper
98,CUST_00098,Corey,Ruiz,corey.ruiz@yahoo.com,Minneapolis,Churn Risk
99,CUST_00099,Timothy,Fernandez,timothy.fernandez@outlook.com,Raleigh,Budget Shopper
100,CUST_00100,Julie,Miller,julie.miller@outlook.com,Sacramento,Online Shopper
101,CUST_00101,Ashley,Ruiz,ashley.ruiz@yahoo.com,Washington,Loyal Customer
102,CUST_00102,Karen,Williams,karen.williams@gmail.com,Chicago,Churn Risk
103,CUST_00103,Michelle,Acosta,michelle.acosta@gmail.com,Mesa,Premium Shopper
104,CUST_00104,Walter,Hayden,walter.hayden@gmail.com,Tulsa,In-Store Regular
105,CUST_00105,Billy,Smith,billy.smith@yahoo.com,Fresno,Loyal Customer
106,CUST_00106,Aaron,Hill,aaron.hill@yahoo.com,San Jose,Premium Shopper
107,CUST_00107,Gwendolyn,Willis,gwendolyn.willis@yahoo.com,Oklahoma City,Premium Shopper
108,CUST_00108,Elizabeth,Merritt,elizabeth.merritt@outlook.com,Portland,First-time Buyer
109,CUST_00109,Nicholas,Gallagher,nicholas.gallagher@outlook.com,Oakland,Budget Shopper
110,CUST_00110,Anita,Pitts,anita.pitts@yahoo.com,Chicago,Churn Risk
111,CUST_00111,Eric,Taylor,eric.taylor@yahoo.com,Las Vegas,High Value
112,CUST_00112,Bethany,Jones,bethany.jones@outlook.com,Raleigh,Occasional Shopper
113,CUST_00113,William,Winters,william.winters@outlook.com,Miami,Budget Shopper
114,CUST_00114,Robert,Bradley,robert.bradley@outlook.com,Raleigh,Loyal Customer
115,CUST_00115,Wendy,Ward,wendy.ward@yahoo.com,San Jose,Churn Risk
116,CUST_00116,Cassandra,Juarez,cassandra.juarez@gmail.com,Kansas City,In-Store Regular
117,CUST_00117,Ashley,Matthews,ashley.matthews@gmail.com,Dallas,First-time Buyer
118,CUST_00118,Lucas,Christensen,lucas.christensen@yahoo.com,Jacksonville,High Value
119,CUST_00119,Sean,Castillo,sean.castillo@yahoo.com,Kansas City,Premium Shopper
120,CUST_00120,Alexandra,Thomas,alexandra.thomas@gmail.com,Los Angeles,In-Store Regular
121,CUST_00121,Pamela,Fisher,pamela.fisher@yahoo.com,New Orleans,Churn Risk
122,CUST_00122,Kenneth,Malone,kenneth.malone@gmail.com,New York,Occasional Shopper
123,CUST_00123,Randy,Kelly,randy.kelly@outlook.com,San Diego,Churn Risk
124,CUST_00124,Joseph,Williams,joseph.williams@outlook.com,San Francisco,Premium Shopper
125,CUST_00125,Katherine,Lam,katherine.lam@gmail.com,Arlington,Budget Shopper
126,CUST_00126,Mark,Aguilar,mark.aguilar@gmail.com,Chicago,In-Store Regular
127,CUST_00127,Alexander,Delgado,alexander.delgado@yahoo.com,Mesa,Online Shopper
128,CUST_00128,Jessica,Patel,jessica.patel@outlook.com,Arlington,Occasional Shopper
129,CUST_00129,Laura,Meyer,laura.meyer@yahoo.com,Columbus,Loyal Customer
130,CUST_00130,Crystal,Espinoza,crystal.espinoza@yahoo.com,Detroit,Online Shopper
131,CUST_00131,Jenna,Jenkins,jenna.jenkins@yahoo.com,New Orleans,High Value
132,CUST_00132,Johnathan,Lopez,johnathan.lopez@gmail.com,Denver,First-time Buyer
133,CUST_00133,Zachary,Stevens,zachary.stevens@gmail.com,New York,Budget Shopper
134,CUST_00134,Michael,Martin,michael.martin@outlook.com,Mesa,Premium Shopper
135,CUST_00135,Kristen,Johnson,kristen.johnson@gmail.com,Tulsa,Premium Shopper
136,CUST_00136,Robert,Wilson,robert.wilson@outlook.com,Omaha,First-time Buyer
137,CUST_00137,Barbara,Hoffman,barbara.hoffman@gmail.com,Omaha,Occasional Shopper
138,CUST_00138,Michelle,Sullivan,michelle.sullivan@yahoo.com,Charlotte,Deal Seeker
139,CUST_00139,Wesley,Sanders,wesley.sanders@gmail.com,San Antonio,Loyal Customer
140,CUST_00140,Gina,Johnson,gina.johnson@gmail.com,Jacksonville,Occasional Shopper
141,CUST_00141,Melinda,Brown,melinda.brown@outlook.com,New Orleans,Budget Shopper
142,CUST_00142,Ashlee,Richardson,ashlee.richardson@gmail.com,New York,First-time Buyer
143,CUST_00143,Rebecca,Chavez,rebecca.chavez@yahoo.com,Fresno,Loyal Customer
144,CUST_00144,Jill,Luna,jill.luna@yahoo.com,Louisville,Online Shopper
145,CUST_00145,Tyler,Hood,tyler.hood@yahoo.com,Tulsa,Premium Shopper
146,CUST_00146,Alicia,Wilkins,alicia.wilkins@gmail.com,Las Vegas,Churn Risk
147,CUST_00147,Sean,Brown,sean.brown@gmail.com,Boston,Churn Risk
148,CUST_00148,Kevin,Colon,kevin.colon@outlook.com,Phoenix,Deal Seeker
149,CUST_00149,Todd,Norton,todd.norton@yahoo.com,Louisville,Churn Risk
150,CUST_00150,Becky,Burke,becky.burke@gmail.com,Jacksonville,High Value
151,CUST_00151,Justin,Koch,justin.koch@outlook.com,Mesa,Budget Shopper
152,CUST_00152,Marie,Mckinney,marie.mckinney@outlook.com,Fort Worth,Deal Seeker
153,CUST_00153,Nathaniel,Brooks,nathaniel.brooks@gmail.com,San Jose,Occasional Shopper
154,CUST_00154,Kathy,Powell,kathy.powell@gmail.com,Fort Worth,Loyal Customer
155,CUST_00155,Richard,Mitchell,richard.mitchell@yahoo.com,New Orleans,In-Store Regular
156,CUST_00156,Derrick,Taylor,derrick.taylor@gmail.com,New York,Online Shopper
157,CUST_00157,Annette,Lewis,annette.lewis@outlook.com,Colorado Springs,Premium Shopper
158,CUST_00158,Amanda,Mathis,amanda.mathis@outlook.com,Charlotte,Loyal Customer
159,CUST_00159,Natalie,Moore,natalie.moore@yahoo.com,New Orleans,Churn Risk
160,CUST_00160,Amy,Warner,amy.warner@gmail.com,Memphis,Loyal Customer
161,CUST_00161,Brendan,Smith,brendan.smith@yahoo.com,Washington,In-Store Regular
162,CUST_00162,Caitlin,Williams,caitlin.williams@yahoo.com,San Antonio,Online Shopper
163,CUST_00163,Alicia,Rodriguez,alicia.rodriguez@outlook.com,Minneapolis,Premium Shopper
164,CUST_00164,Erik,Velazquez,erik.velazquez@yahoo.com,Fresno,Deal Seeker
165,CUST_00165,Jason,Mcdonald,jason.mcdonald@gmail.com,San Antonio,Loyal Customer
166,CUST_00166,Valerie,Landry,valerie.landry@yahoo.com,Omaha,First-time Buyer
167,CUST_00167,Jamie,Miller,jamie.miller@gmail.com,Seattle,Loyal Customer
168,CUST_00168,Karen,Sawyer,karen.sawyer@outlook.com,Philadelphia,Premium Shopper
169,CUST_00169,Michael,Carr,michael.carr@outlook.com,Columbus,High Value
170,CUST_00170,Teresa,Hebert,teresa.hebert@gmail.com,Charlotte,In-Store Regular
171,CUST_00171,Kathryn,Williams,kathryn.williams@outlook.com,Omaha,Occasional Shopper
172,CUST_00172,Christina,Thompson,christina.thompson@yahoo.com,Atlanta,Online Shopper
173,CUST_00173,Michele,Logan,michele.logan@yahoo.com,Tucson,In-Store Regular
174,CUST_00174,James,Turner,james.turner@outlook.com,Louisville,Premium Shopper
175,CUST_00175,Jennifer,Scott,jennifer.scott@outlook.com,Charlotte,Premium Shopper
176,CUST_00176,James,Russell,james.russell@yahoo.com,Las Vegas,Occasional Shopper
177,CUST_00177,Valerie,Anderson,valerie.anderson@yahoo.com,San Jose,Occasional Shopper
178,CUST_00178,Matthew,Young,matthew.young@yahoo.com,Tulsa,Budget Shopper
179,CUST_00179,Roger,Holt,roger.holt@gmail.com,Virginia Beach,In-Store Regular
180,CUST_00180,Madison,Dixon,madison.dixon@outlook.com,Charlotte,Online Shopper
181,CUST_00181,Joseph,Daniel,joseph.daniel@outlook.com,Arlington,Deal Seeker
182,CUST_00182,Susan,Velazquez,susan.velazquez@yahoo.com,Arlington,Churn Risk
183,CUST_00183,Ashley,Wright,ashley.wright@gmail.com,Nashville,Deal Seeker
184,CUST_00184,Amanda,Clark,amanda.clark@gmail.com,Oakland,Budget Shopper
185,CUST_00185,Alexandra,Watson,alexandra.watson@yahoo.com,Louisville,Online Shopper
186,CUST_00186,Jacob,Weber,jacob.weber@yahoo.com,Virginia Beach,Premium Shopper
187,CUST_00187,Antonio,Bonilla,antonio.bonilla@outlook.com,Raleigh,Churn Risk
188,CUST_00188,Ellen,Patton,ellen.patton@yahoo.com,Phoenix,High Value
189,CUST_00189,Nancy,Moore,nancy.moore@outlook.com,Tampa,Churn Risk
190,CUST_00190,Gwendolyn,Wong,gwendolyn.wong@gmail.com,Baltimore,Online Shopper
191,CUST_00191,Carlos,Anderson,carlos.anderson@outlook.com,Memphis,Budget Shopper
192,CUST_00192,Jeffrey,Miller,jeffrey.miller@yahoo.com,Tucson,Budget Shopper
193,CUST_00193,Kevin,Green,kevin.green@gmail.com,Washington,Loyal Customer
194,CUST_00194,Gregory,Walker,gregory.walker@outlook.com,Fresno,High Value
195,CUST_00195,Maria,Parks,maria.parks@yahoo.com,Fort Worth,Occasional Shopper
196,CUST_00196,Sarah,Smith,sarah.smith@yahoo.com,Omaha,Premium Shopper
197,CUST_00197,Curtis,Sharp,curtis.sharp@yahoo.com,Portland,High Value
198,CUST_00198,Andrew,Abbott,andrew.abbott@gmail.com,Detroit,Online Shopper
199,CUST_00199,Sharon,Gordon,sharon.gordon@gmail.com,Dallas,Online Shopper
200,CUST_00200,Jessica,Weeks,jessica.weeks@yahoo.com,Tulsa,In-Store Regular
201,CUST_00201,Julie,Taylor,julie.taylor@gmail.com,Denver,In-Store Regular
202,CUST_00202,Kimberly,Cruz,kimberly.cruz@gmail.com,Mesa,High Value
203,CUST_00203,Eric,Holland,eric.holland@gmail.com,Fort Worth,High Value
204,CUST_00204,Margaret,Arnold,margaret.arnold@outlook.com,Omaha,Budget Shopper
205,CUST_00205,Jerry,Gilbert,jerry.gilbert@gmail.com,Detroit,High Value
206,CUST_00206,Michelle,Jones,michelle.jones@outlook.com,New York,Premium Shopper
207,CUST_00207,Kayla,Jackson,kayla.jackson@yahoo.com,New Orleans,Deal Seeker
208,CUST_00208,Tammy,Burke,tammy.burke@outlook.com,Chicago,High Value
209,CUST_00209,Catherine,Sweeney,catherine.sweeney@yahoo.com,Colorado Springs,Occasional Shopper
210,CUST_00210,Frederick,Ryan,frederick.ryan@gmail.com,Louisville,Churn Risk
211,CUST_00211,Henry,Mckay,henry.mckay@yahoo.com,Oklahoma City,Loyal Customer
212,CUST_00212,Brenda,Vasquez,brenda.vasquez@yahoo.com,Charlotte,Premium Shopper
213,CUST_00213,Brandy,King,brandy.king@yahoo.com,Detroit,Loyal Customer
214,CUST_00214,Jamie,Smith,jamie.smith@gmail.com,Omaha,Occasional Shopper
215,CUST_00215,Sean,Savage,sean.savage@gmail.com,Charlotte,Budget Shopper
216,CUST_00216,Joseph,Collier,joseph.collier@yahoo.com,Las Vegas,Online Shopper
217,CUST_00217,Samantha,Brown,samantha.brown@gmail.com,Detroit,Budget Shopper
218,CUST_00218,Mary,Wheeler,mary.wheeler@yahoo.com,Columbus,Churn Risk
219,CUST_00219,John,Green,john.green@gmail.com,Colorado Springs,Deal Seeker
220,CUST_00220,Karen,Lucas,karen.lucas@yahoo.com,Colorado Springs,High Value
221,CUST_00221,Heather,Smith,heather.smith@gmail.com,Miami,Online Shopper
222,CUST_00222,Brittany,Reyes,brittany.reyes@gmail.com,New York,In-Store Regular
223,CUST_00223,Patrick,Gonzalez,patrick.gonzalez@gmail.com,San Jose,Online Shopper
224,CUST_00224,Melvin,Kennedy,melvin.kennedy@gmail.com,Phoenix,Deal Seeker
225,CUST_00225,Jeremiah,Caldwell,jeremiah.caldwell@yahoo.com,Minneapolis,Deal Seeker
226,CUST_00226,Shannon,Nguyen,shannon.nguyen@yahoo.com,Baltimore,High Value
227,CUST_00227,Carmen,Cain,carmen.cain@outlook.com,Fort Worth,Deal Seeker
228,CUST_00228,Leslie,Hudson,leslie.hudson@outlook.com,Virginia Beach,Churn Risk
229,CUST_00229,Michael,Crawford,michael.crawford@outlook.com,Raleigh,Churn Risk
230,CUST_00230,Christine,Jones,christine.jones@outlook.com,Austin,Occasional Shopper
231,CUST_00231,Hayley,Stanley,hayley.stanley@gmail.com,Kansas City,Loyal Customer
232,CUST_00232,John,Gray,john.gray@outlook.com,Washington,First-time Buyer
233,CUST_00233,Judith,Campbell,judith.campbell@outlook.com,Indianapolis,Premium Shopper
234,CUST_00234,Tina,Huff,tina.huff@gmail.com,Portland,High Value
235,CUST_00235,George,Smith,george.smith@outlook.com,Detroit,Budget Shopper
236,CUST_00236,Devin,Fields,devin.fields@gmail.com,Sacramento,Churn Risk
237,CUST_00237,Marissa,Burgess,marissa.burgess@gmail.com,San Francisco,Premium Shopper
238,CUST_00238,Laura,Bowen,laura.bowen@yahoo.com,Raleigh,Budget Shopper
239,CUST_00239,Patrick,Huffman,patrick.huffman@outlook.com,Las Vegas,Churn Risk
240,CUST_00240,James,Gardner,james.gardner@gmail.com,Boston,Deal Seeker
241,CUST_00241,Virginia,Benson,virginia.benson@outlook.com,Detroit,Deal Seeker
242,CUST_00242,Stephanie,Fernandez,stephanie.fernandez@outlook.com,Dallas,Online Shopper
243,CUST_00243,Jesus,Harris,jesus.harris@outlook.com,Virginia Beach,Budget Shopper
244,CUST_00244,Sandra,Lewis,sandra.lewis@gmail.com,San Antonio,First-time Buyer
245,CUST_00245,Kathleen,Meyer,kathleen.meyer@yahoo.com,Jacksonville,Budget Shopper
246,CUST_00246,Andrew,Patel,andrew.patel@gmail.com,Louisville,Loyal Customer
247,CUST_00247,Heather,Martin,heather.martin@yahoo.com,Philadelphia,In-Store Regular
248,CUST_00248,Steven,Baker,steven.baker@yahoo.com,Detroit,High Value
249,CUST_00249,George,Cline,george.cline@gmail.com,Philadelphia,Occasional Shopper
250,CUST_00250,Laura,Carey,laura.carey@yahoo.com,Omaha,Churn Risk
251,CUST_00251,Megan,Frederick,megan.frederick@outlook.com,Philadelphia,Loyal Customer
252,CUST_00252,Scott,Allen,scott.allen@gmail.com,Oakland,Budget Shopper
253,CUST_00253,Garrett,Hill,garrett.hill@yahoo.com,San Francisco,Occasional Shopper
254,CUST_00254,Nancy,Campbell,nancy.campbell@yahoo.com,Chicago,Loyal Customer
255,CUST_00255,Brenda,Davis,brenda.davis@yahoo.com,Boston,Budget Shopper
256,CUST_00256,Rodney,Payne,rodney.payne@outlook.com,Milwaukee,Loyal Customer
257,CUST_00257,Keith,Spencer,keith.spencer@outlook.com,Miami,In-Store Regular
258,CUST_00258,Samuel,Smith,samuel.smith@gmail.com,Tucson,Churn Risk
259,CUST_00259,David,Henry,david.henry@outlook.com,Fresno,First-time Buyer
260,CUST_00260,Jessica,Hernandez,jessica.hernandez@outlook.com,Raleigh,Premium Shopper
261,CUST_00261,Erica,Fuentes,erica.fuentes@outlook.com,Chicago,First-time Buyer
262,CUST_00262,Gabriela,Pierce,gabriela.pierce@gmail.com,Albuquerque,Budget Shopper
263,CUST_00263,Rebecca,Boyd,rebecca.boyd@yahoo.com,Atlanta,Occasional Shopper
264,CUST_00264,Matthew,Brown,matthew.brown@yahoo.com,Tulsa,Budget Shopper
265,CUST_00265,Matthew,Stafford,matthew.stafford@gmail.com,San Jose,Deal Seeker
266,CUST_00266,Cheryl,Reed,cheryl.reed@gmail.com,San Antonio,High Value
267,CUST_00267,Christine,Castillo,christine.castillo@yahoo.com,Memphis,First-time Buyer
268,CUST_00268,Katherine,Friedman,katherine.friedman@outlook.com,Austin,Occasional Shopper
269,CUST_00269,Kevin,Kirby,kevin.kirby@yahoo.com,Mesa,Online Shopper
270,CUST_00270,Allen,Rosales,allen.rosales@gmail.com,Miami,Churn Risk
271,CUST_00271,Paige,Bryant,paige.bryant@outlook.com,Sacramento,Online Shopper
272,CUST_00272,Anna,Bishop,anna.bishop@gmail.com,Fresno,Online Shopper
273,CUST_00273,Kathleen,Mendez,kathleen.mendez@yahoo.com,Dallas,Online Shopper
274,CUST_00274,Daniel,Sloan,daniel.sloan@gmail.com,Miami,Premium Shopper
275,CUST_00275,Nicholas,Rollins,nicholas.rollins@yahoo.com,Long Beach,Deal Seeker
276,CUST_00276,Ashley,Calderon,ashley.calderon@outlook.com,Omaha,First-time Buyer
277,CUST_00277,Jonathon,Garrett,jonathon.garrett@outlook.com,Boston,Budget Shopper
278,CUST_00278,William,Dillon,william.dillon@outlook.com,New Orleans,High Value
279,CUST_00279,Isabel,Morgan,isabel.morgan@yahoo.com,Virginia Beach,High Value
280,CUST_00280,Victoria,Cook,victoria.cook@outlook.com,Dallas,Premium Shopper
281,CUST_00281,Dennis,Miller,dennis.miller@yahoo.com,Seattle,Premium Shopper
282,CUST_00282,Kyle,Edwards,kyle.edwards@outlook.com,Minneapolis,Online Shopper
283,CUST_00283,Deanna,Shepard,deanna.shepard@yahoo.com,Long Beach,High Value
284,CUST_00284,Michelle,Patterson,michelle.patterson@outlook.com,Memphis,Budget Shopper
285,CUST_00285,Rachel,Fernandez,rachel.fernandez@yahoo.com,Indianapolis,In-Store Regular
286,CUST_00286,Anthony,Cook,anthony.cook@yahoo.com,Portland,Budget Shopper
287,CUST_00287,Amy,Short,amy.short@outlook.com,Las Vegas,High Value
288,CUST_00288,Natasha,Travis,natasha.travis@outlook.com,Seattle,Churn Risk
289,CUST_00289,Melissa,Jenkins,melissa.jenkins@gmail.com,Washington,First-time Buyer
290,CUST_00290,Paul,Holder,paul.holder@yahoo.com,Tulsa,First-time Buyer
291,CUST_00291,David,Chaney,david.chaney@yahoo.com,New York,Loyal Customer
292,CUST_00292,Catherine,Murray,catherine.murray@outlook.com,Louisville,In-Store Regular
293,CUST_00293,Tiffany,Anderson,tiffany.anderson@yahoo.com,Miami,Premium Shopper
294,CUST_00294,Jill,Harris,jill.harris@gmail.com,Albuquerque,High Value
295,CUST_00295,Amanda,Williams,amanda.williams@gmail.com,Phoenix,Budget Shopper
296,CUST_00296,Bonnie,Morris,bonnie.morris@outlook.com,Minneapolis,Loyal Customer
297,CUST_00297,Matthew,Petty,matthew.petty@yahoo.com,Columbus,High Value
298,CUST_00298,Maria,Miller,maria.miller@gmail.com,Minneapolis,In-Store Regular
299,CUST_00299,Hunter,Burgess,hunter.burgess@outlook.com,Virginia Beach,Churn Risk
300,CUST_00300,Jessica,Vargas,jessica.vargas@gmail.com,Arlington,Budget Shopper
301,CUST_00301,Tracy,Parks,tracy.parks@yahoo.com,Baltimore,High Value
302,CUST_00302,Edward,Jimenez,edward.jimenez@gmail.com,Colorado Springs,High Value
303,CUST_00303,Kayla,Hernandez,kayla.hernandez@yahoo.com,Philadelphia,Budget Shopper
304,CUST_00304,Todd,Ballard,todd.ballard@yahoo.com,El Paso,Occasional Shopper
305,CUST_00305,Walter,Turner,walter.turner@outlook.com,Fresno,Online Shopper
306,CUST_00306,Eric,Gonzalez,eric.gonzalez@gmail.com,Denver,Budget Shopper
307,CUST_00307,Ashley,Kelly,ashley.kelly@gmail.com,Philadelphia,Premium Shopper
308,CUST_00308,Matthew,Blanchard,matthew.blanchard@outlook.com,Albuquerque,Loyal Customer
